,id,median_income,year
0,01001,28082,10
1,01003,28579,10
2,01005,21101,10
3,01007,21153,10
4,01009,21070,10
5,01011,23760,10
6,01013,21309,10
7,01015,22163,10
8,01017,23236,10
9,01019,19375,10
10,01021,22438,10
11,01023,19985,10
12,01025,15629,10
13,01027,20879,10
14,01029,26488,10
15,01031,22500,10
16,01033,31095,10
17,01035,18626,10
18,01037,26520,10
19,01039,19740,10
20,01041,23327,10
21,01043,15625,10
22,01045,29269,10
23,01047,18784,10
24,01049,25585,10
25,01051,31862,10
26,01053,21651,10
27,01055,23436,10
28,01057,20321,10
29,01059,20833,10
30,01061,20000,10
31,01063,19715,10
32,01065,20653,10
33,01067,24844,10
34,01069,23024,10
35,01071,28602,10
36,01073,31597,10
37,01075,17181,10
38,01077,17327,10
39,01079,33586,10
40,01081,28530,10
41,01083,35254,10
42,01085,21929,10
43,01087,26161,10
44,01089,35034,10
45,01091,20641,10
46,01093,24121,10
47,01095,16824,10
48,01097,26966,10
49,01099,19419,10
50,01101,32701,10
51,01103,24523,10
52,01105,19151,10
53,01107,15484,10
54,01109,20264,10
55,01111,24988,10
56,01113,25183,10
57,01115,35924,10
58,01117,49339,10
59,01119,19289,10
60,01121,26303,10
61,01123,21907,10
62,01125,29057,10
63,01127,20436,10
64,01129,20967,10
65,01131,17266,10
66,01133,"2,500-",10
67,02013,-,10
68,02016,-,10
69,02020,54940,10
70,02050,26583,10
71,02060,-,10
72,02068,-,10
73,02070,22813,10
74,02090,54911,10
75,02100,-,10
76,02105,-,10
77,02110,57500,10
78,02122,36000,10
79,02130,44118,10
80,02150,145625,10
81,02164,-,10
82,02170,55962,10
83,02180,151125,10
84,02185,102986,10
85,02188,66250,10
86,02195,-,10
87,02198,-,10
88,02220,-,10
89,02230,-,10
90,02240,120156,10
91,02261,41027,10
92,02270,-,10
93,02275,-,10
94,02282,-,10
95,02290,-,10
96,04001,12321,10
97,04003,46510,10
98,04005,56513,10
99,04007,9732,10
100,04009,15938,10
101,04011,71667,10
102,04012,6250,10
103,04013,40087,10
104,04015,39758,10
105,04017,46250,10
106,04019,38150,10
107,04021,52159,10
108,04023,45469,10
109,04025,44271,10
110,04027,51337,10
111,05001,20577,10
112,05003,19891,10
113,05005,19408,10
114,05007,32692,10
115,05009,31364,10
116,05011,21638,10
117,05013,23138,10
118,05015,19063,10
119,05017,16363,10
120,05019,22132,10
121,05021,-,10
122,05023,-,10
123,05025,18542,10
124,05027,20246,10
125,05029,26310,10
126,05031,21647,10
127,05033,45260,10
128,05035,23755,10
129,05037,26019,10
130,05039,22233,10
131,05041,20320,10
132,05043,22594,10
133,05045,25606,10
134,05047,7054,10
135,05049,-,10
136,05051,21750,10
137,05053,31597,10
138,05055,8086,10
139,05057,23659,10
140,05059,28980,10
141,05061,24219,10
142,05063,27330,10
143,05065,93342,10
144,05067,18676,10
145,05069,27282,10
146,05071,14846,10
147,05073,19432,10
148,05075,-,10
149,05077,17614,10
150,05079,13220,10
151,05081,25240,10
152,05083,8587,10
153,05085,29495,10
154,05087,-,10
155,05089,-,10
156,05091,25929,10
157,05093,21997,10
158,05095,21932,10
159,05097,-,10
160,05099,20045,10
161,05101,-,10
162,05103,23661,10
163,05105,98281,10
164,05107,22043,10
165,05109,29432,10
166,05111,15962,10
167,05113,33452,10
168,05115,36926,10
169,05117,21406,10
170,05119,30835,10
171,05121,25100,10
172,05123,22794,10
173,05125,35515,10
174,05127,-,10
175,05129,-,10
176,05131,26798,10
177,05133,24345,10
178,05135,55417,10
179,05137,-,10
180,05139,19720,10
181,05141,-,10
182,05143,35478,10
183,05145,26706,10
184,05147,15563,10
185,05149,37941,10
186,06001,40187,10
187,06003,-,10
188,06005,-,10
189,06007,25929,10
190,06009,73017,10
191,06011,45833,10
192,06013,50371,10
193,06015,69107,10
194,06017,66855,10
195,06019,25692,10
196,06021,14151,10
197,06023,33373,10
198,06025,43841,10
199,06027,43681,10
200,06029,33447,10
201,06031,59567,10
202,06033,25550,10
203,06035,41708,10
204,06037,42071,10
205,06039,40084,10
206,06041,40282,10
207,06043,41875,10
208,06045,33194,10
209,06047,37633,10
210,06049,-,10
211,06051,40354,10
212,06053,49977,10
213,06055,82778,10
214,06057,26944,10
215,06059,68597,10
216,06061,86525,10
217,06063,42545,10
218,06065,55954,10
219,06067,39628,10
220,06069,26154,10
221,06071,48143,10
222,06073,46947,10
223,06075,30840,10
224,06077,43013,10
225,06079,61153,10
226,06081,51847,10
227,06083,52988,10
228,06085,55541,10
229,06087,49625,10
230,06089,30368,10
231,06091,38182,10
232,06093,19922,10
233,06095,54198,10
234,06097,59138,10
235,06099,41165,10
236,06101,49091,10
237,06103,86250,10
238,06105,-,10
239,06107,31814,10
240,06109,24286,10
241,06111,74299,10
242,06113,32165,10
243,06115,48500,10
244,08001,44240,10
245,08003,-,10
246,08005,39664,10
247,08007,-,10
248,08009,-,10
249,08011,-,10
250,08013,40063,10
251,08014,37083,10
252,08015,-,10
253,08017,-,10
254,08019,-,10
255,08021,-,10
256,08023,-,10
257,08025,-,10
258,08027,-,10
259,08029,-,10
260,08031,31033,10
261,08033,-,10
262,08035,82072,10
263,08037,-,10
264,08039,-,10
265,08041,46115,10
266,08043,-,10
267,08045,57794,10
268,08047,35288,10
269,08049,-,10
270,08051,-,10
271,08053,-,10
272,08055,-,10
273,08057,-,10
274,08059,45077,10
275,08061,-,10
276,08063,-,10
277,08065,13929,10
278,08067,6375,10
279,08069,58548,10
280,08071,7321,10
281,08073,-,10
282,08075,38105,10
283,08077,42157,10
284,08079,-,10
285,08081,-,10
286,08083,-,10
287,08085,-,10
288,08087,25086,10
289,08089,33750,10
290,08091,-,10
291,08093,-,10
292,08095,25000,10
293,08097,-,10
294,08099,-,10
295,08101,32843,10
296,08103,-,10
297,08105,-,10
298,08107,-,10
299,08109,-,10
300,08111,-,10
301,08113,-,10
302,08115,-,10
303,08117,-,10
304,08119,-,10
305,08121,-,10
306,08123,23893,10
307,08125,-,10
308,09001,44275,10
309,09003,41961,10
310,09005,66691,10
311,09007,53897,10
312,09009,42492,10
313,09011,47370,10
314,09013,46605,10
315,09015,49803,10
316,10001,42126,10
317,10003,44546,10
318,10005,33916,10
319,11001,38218,10
320,12001,27216,10
321,12003,27319,10
322,12005,34087,10
323,12007,27976,10
324,12009,35800,10
325,12011,41702,10
326,12013,22969,10
327,12015,40000,10
328,12017,45885,10
329,12019,49001,10
330,12021,36591,10
331,12023,26661,10
332,12027,22600,10
333,12029,22303,10
334,12031,34447,10
335,12033,26492,10
336,12035,41203,10
337,12037,20915,10
338,12039,26522,10
339,12041,16625,10
340,12043,17063,10
341,12045,23590,10
342,12047,19662,10
343,12049,30849,10
344,12051,23936,10
345,12053,35506,10
346,12055,28046,10
347,12057,35110,10
348,12059,6834,10
349,12061,28031,10
350,12063,25186,10
351,12065,30374,10
352,12067,18167,10
353,12069,37261,10
354,12071,33944,10
355,12073,29289,10
356,12075,17591,10
357,12077,29318,10
358,12079,28115,10
359,12081,30372,10
360,12083,32746,10
361,12085,33536,10
362,12086,34199,10
363,12087,34750,10
364,12089,40613,10
365,12091,40263,10
366,12093,28759,10
367,12095,37210,10
368,12097,41725,10
369,12099,38517,10
370,12101,44636,10
371,12103,31476,10
372,12105,33431,10
373,12107,21576,10
374,12109,34386,10
375,12111,36442,10
376,12113,39178,10
377,12115,30601,10
378,12117,38678,10
379,12119,32782,10
380,12121,18644,10
381,12123,16354,10
382,12125,19650,10
383,12127,28550,10
384,12129,57690,10
385,12131,16654,10
386,12133,25341,10
387,13001,26672,10
388,13003,20698,10
389,13005,19516,10
390,13007,23486,10
391,13009,25662,10
392,13011,44185,10
393,13013,36011,10
394,13015,32024,10
395,13017,22131,10
396,13019,18419,10
397,13021,26842,10
398,13023,22764,10
399,13025,13846,10
400,13027,21678,10
401,13029,39315,10
402,13031,22465,10
403,13033,22797,10
404,13035,33421,10
405,13037,22854,10
406,13039,29063,10
407,13043,27741,10
408,13045,32650,10
409,13047,35635,10
410,13049,31047,10
411,13051,31439,10
412,13053,48207,10
413,13055,18947,10
414,13057,54901,10
415,13059,25962,10
416,13061,22817,10
417,13063,43178,10
418,13065,20526,10
419,13067,47603,10
420,13069,26912,10
421,13071,20860,10
422,13073,53778,10
423,13075,24474,10
424,13077,36547,10
425,13079,21149,10
426,13081,18084,10
427,13083,70625,10
428,13085,-,10
429,13087,25005,10
430,13089,42818,10
431,13091,16229,10
432,13093,20359,10
433,13095,25822,10
434,13097,49393,10
435,13099,18070,10
436,13101,-,10
437,13103,32484,10
438,13105,25037,10
439,13107,20679,10
440,13109,35536,10
441,13111,-,10
442,13113,79983,10
443,13115,24715,10
444,13117,70525,10
445,13119,11731,10
446,13121,36390,10
447,13123,-,10
448,13125,22163,10
449,13127,28800,10
450,13129,22005,10
451,13131,19589,10
452,13133,22140,10
453,13135,52981,10
454,13137,37500,10
455,13139,33615,10
456,13141,21373,10
457,13143,24267,10
458,13145,39135,10
459,13147,18986,10
460,13149,43090,10
461,13151,59532,10
462,13153,41193,10
463,13155,23914,10
464,13157,31724,10
465,13159,35745,10
466,13161,27653,10
467,13163,22821,10
468,13165,23139,10
469,13167,18217,10
470,13169,45147,10
471,13171,30856,10
472,13173,18773,10
473,13175,25250,10
474,13177,39040,10
475,13179,42017,10
476,13181,23269,10
477,13183,25938,10
478,13185,26488,10
479,13187,6618,10
480,13189,26092,10
481,13191,27439,10
482,13193,22813,10
483,13195,35817,10
484,13197,23151,10
485,13199,26904,10
486,13201,16393,10
487,13205,23685,10
488,13207,33199,10
489,13209,23750,10
490,13211,27313,10
491,13213,27026,10
492,13215,31192,10
493,13217,45364,10
494,13219,24730,10
495,13221,22316,10
496,13223,53697,10
497,13225,31453,10
498,13227,40952,10
499,13229,25252,10
500,13231,31193,10
501,13233,29740,10
502,13235,17370,10
503,13237,22091,10
504,13239,15976,10
505,13241,8904,10
506,13243,16771,10
507,13245,32370,10
508,13247,53068,10
509,13249,15605,10
510,13251,22410,10
511,13253,20493,10
512,13255,27471,10
513,13257,22622,10
514,13259,19432,10
515,13261,23659,10
516,13263,19412,10
517,13265,19516,10
518,13267,32603,10
519,13269,14680,10
520,13271,16565,10
521,13273,18358,10
522,13275,18155,10
523,13277,25250,10
524,13279,21051,10
525,13281,-,10
526,13283,19000,10
527,13285,26632,10
528,13287,17740,10
529,13289,21916,10
530,13291,40777,10
531,13293,21938,10
532,13295,27604,10
533,13297,30300,10
534,13299,23750,10
535,13301,25052,10
536,13303,20087,10
537,13305,24189,10
538,13307,20368,10
539,13309,21576,10
540,13311,20878,10
541,13313,32478,10
542,13315,14479,10
543,13317,22121,10
544,13319,25814,10
545,13321,19583,10
546,15001,42727,10
547,15003,59359,10
548,15005,-,10
549,15007,72115,10
550,15009,50952,10
551,16001,34943,10
552,16003,-,10
553,16005,16667,10
554,16007,-,10
555,16009,88438,10
556,16011,53250,10
557,16013,-,10
558,16015,-,10
559,16017,-,10
560,16019,29183,10
561,16021,-,10
562,16023,-,10
563,16025,-,10
564,16027,36500,10
565,16029,-,10
566,16031,-,10
567,16033,-,10
568,16035,-,10
569,16037,-,10
570,16039,34821,10
571,16041,-,10
572,16043,-,10
573,16045,-,10
574,16047,-,10
575,16049,-,10
576,16051,-,10
577,16053,"2,500-",10
578,16055,14545,10
579,16057,11827,10
580,16059,-,10
581,16061,-,10
582,16063,-,10
583,16065,-,10
584,16067,-,10
585,16069,-,10
586,16071,-,10
587,16073,-,10
588,16075,-,10
589,16077,-,10
590,16079,-,10
591,16081,-,10
592,16083,8281,10
593,16085,-,10
594,16087,-,10
595,17001,25521,10
596,17003,23803,10
597,17005,41528,10
598,17007,41280,10
599,17009,-,10
600,17011,37063,10
601,17013,-,10
602,17015,72589,10
603,17017,30903,10
604,17019,25737,10
605,17021,-,10
606,17023,-,10
607,17025,-,10
608,17027,25476,10
609,17029,12961,10
610,17031,35890,10
611,17033,85221,10
612,17035,-,10
613,17037,25972,10
614,17039,-,10
615,17041,-,10
616,17043,49779,10
617,17045,-,10
618,17047,-,10
619,17049,-,10
620,17051,-,10
621,17053,-,10
622,17055,56042,10
623,17057,10357,10
624,17059,"2,500-",10
625,17061,-,10
626,17063,51845,10
627,17065,-,10
628,17067,-,10
629,17069,-,10
630,17071,-,10
631,17073,30156,10
632,17075,25893,10
633,17077,12042,10
634,17079,-,10
635,17081,20550,10
636,17083,-,10
637,17085,73750,10
638,17087,-,10
639,17089,35904,10
640,17091,26238,10
641,17093,75883,10
642,17095,30750,10
643,17097,42424,10
644,17099,14944,10
645,17101,18703,10
646,17103,35259,10
647,17105,-,10
648,17107,21625,10
649,17109,22637,10
650,17111,85393,10
651,17113,30909,10
652,17115,23981,10
653,17117,33750,10
654,17119,31255,10
655,17121,32727,10
656,17123,-,10
657,17125,-,10
658,17127,26080,10
659,17129,-,10
660,17131,-,10
661,17133,-,10
662,17135,45917,10
663,17137,25213,10
664,17139,-,10
665,17141,44896,10
666,17143,25290,10
667,17145,44500,10
668,17147,-,10
669,17149,-,10
670,17151,-,10
671,17153,26429,10
672,17155,-,10
673,17157,36250,10
674,17159,-,10
675,17161,26171,10
676,17163,27465,10
677,17165,21379,10
678,17167,27564,10
679,17169,-,10
680,17171,-,10
681,17173,-,10
682,17175,-,10
683,17177,25365,10
684,17179,45114,10
685,17181,-,10
686,17183,16590,10
687,17185,-,10
688,17187,31061,10
689,17189,17083,10
690,17191,34375,10
691,17193,"2,500-",10
692,17195,23750,10
693,17197,52196,10
694,17199,22679,10
695,17201,25152,10
696,17203,40417,10
697,18001,"2,500-",10
698,18003,29996,10
699,18005,35391,10
700,18007,66094,10
701,18009,-,10
702,18011,71223,10
703,18013,-,10
704,18015,-,10
705,18017,41563,10
706,18019,42492,10
707,18021,-,10
708,18023,19375,10
709,18025,-,10
710,18027,90583,10
711,18029,30143,10
712,18031,4625,10
713,18033,38125,10
714,18035,25675,10
715,18037,-,10
716,18039,27263,10
717,18041,14327,10
718,18043,31502,10
719,18045,-,10
720,18047,-,10
721,18049,19617,10
722,18051,33015,10
723,18053,24133,10
724,18055,-,10
725,18057,69102,10
726,18059,49948,10
727,18061,25586,10
728,18063,59796,10
729,18065,42125,10
730,18067,30383,10
731,18069,-,10
732,18071,15547,10
733,18073,14583,10
734,18075,-,10
735,18077,45492,10
736,18079,44868,10
737,18081,35000,10
738,18083,22903,10
739,18085,43008,10
740,18087,-,10
741,18089,30835,10
742,18091,24598,10
743,18093,29028,10
744,18095,28604,10
745,18097,31510,10
746,18099,55463,10
747,18101,-,10
748,18103,13780,10
749,18105,26089,10
750,18107,49234,10
751,18109,-,10
752,18111,13902,10
753,18113,103382,10
754,18115,14792,10
755,18117,73462,10
756,18119,24861,10
757,18121,-,10
758,18123,-,10
759,18125,-,10
760,18127,42194,10
761,18129,"2,500-",10
762,18131,-,10
763,18133,37969,10
764,18135,29063,10
765,18137,11786,10
766,18139,42656,10
767,18141,26762,10
768,18143,-,10
769,18145,29412,10
770,18147,11250,10
771,18149,16625,10
772,18151,18750,10
773,18153,"2,500-",10
774,18155,-,10
775,18157,23656,10
776,18159,-,10
777,18161,-,10
778,18163,23629,10
779,18165,66786,10
780,18167,18158,10
781,18169,28882,10
782,18171,-,10
783,18173,86071,10
784,18175,"2,500-",10
785,18177,29947,10
786,18179,31507,10
787,18181,-,10
788,18183,-,10
789,19001,-,10
790,19003,-,10
791,19005,-,10
792,19007,-,10
793,19009,-,10
794,19011,4511,10
795,19013,25030,10
796,19015,20263,10
797,19017,-,10
798,19019,-,10
799,19021,55417,10
800,19023,-,10
801,19025,-,10
802,19027,-,10
803,19029,61683,10
804,19031,-,10
805,19033,38618,10
806,19035,-,10
807,19037,-,10
808,19039,-,10
809,19041,-,10
810,19043,-,10
811,19045,18854,10
812,19047,-,10
813,19049,36579,10
814,19051,-,10
815,19053,-,10
816,19055,-,10
817,19057,10222,10
818,19059,-,10
819,19061,17302,10
820,19063,-,10
821,19065,17273,10
822,19067,"2,500-",10
823,19069,-,10
824,19071,68897,10
825,19073,-,10
826,19075,-,10
827,19077,-,10
828,19079,63542,10
829,19081,-,10
830,19083,-,10
831,19085,-,10
832,19087,-,10
833,19089,-,10
834,19091,-,10
835,19093,-,10
836,19095,-,10
837,19097,6964,10
838,19099,23590,10
839,19101,-,10
840,19103,16811,10
841,19105,-,10
842,19107,"2,500-",10
843,19109,-,10
844,19111,32212,10
845,19113,22425,10
846,19115,4219,10
847,19117,-,10
848,19119,-,10
849,19121,-,10
850,19123,27586,10
851,19125,57857,10
852,19127,21705,10
853,19129,-,10
854,19131,-,10
855,19133,-,10
856,19135,-,10
857,19137,-,10
858,19139,29375,10
859,19141,-,10
860,19143,-,10
861,19145,26875,10
862,19147,-,10
863,19149,-,10
864,19151,17292,10
865,19153,26725,10
866,19155,39107,10
867,19157,13438,10
868,19159,-,10
869,19161,-,10
870,19163,25384,10
871,19165,-,10
872,19167,19231,10
873,19169,26913,10
874,19171,-,10
875,19173,-,10
876,19175,18024,10
877,19177,-,10
878,19179,24688,10
879,19181,33333,10
880,19183,87031,10
881,19185,-,10
882,19187,12123,10
883,19189,-,10
884,19191,53750,10
885,19193,35250,10
886,19195,-,10
887,19197,-,10
888,20001,21667,10
889,20003,-,10
890,20005,29517,10
891,20007,-,10
892,20009,33191,10
893,20011,15588,10
894,20013,12500,10
895,20015,73527,10
896,20017,-,10
897,20019,-,10
898,20021,6490,10
899,20023,-,10
900,20025,-,10
901,20027,-,10
902,20029,-,10
903,20031,143750,10
904,20033,-,10
905,20035,27188,10
906,20037,17083,10
907,20039,-,10
908,20041,-,10
909,20043,30125,10
910,20045,29808,10
911,20047,-,10
912,20049,-,10
913,20051,27898,10
914,20053,-,10
915,20055,11000,10
916,20057,29181,10
917,20059,38516,10
918,20061,44507,10
919,20063,-,10
920,20065,51875,10
921,20067,-,10
922,20069,-,10
923,20071,-,10
924,20073,-,10
925,20075,-,10
926,20077,-,10
927,20079,21346,10
928,20081,-,10
929,20083,-,10
930,20085,23125,10
931,20087,57917,10
932,20089,"2,500-",10
933,20091,49489,10
934,20093,-,10
935,20095,-,10
936,20097,-,10
937,20099,14481,10
938,20101,-,10
939,20103,32059,10
940,20105,-,10
941,20107,18125,10
942,20109,-,10
943,20111,9813,10
944,20113,14038,10
945,20115,-,10
946,20117,33300,10
947,20119,-,10
948,20121,61950,10
949,20123,-,10
950,20125,29596,10
951,20127,-,10
952,20129,-,10
953,20131,41023,10
954,20133,39224,10
955,20135,-,10
956,20137,61042,10
957,20139,-,10
958,20141,-,10
959,20143,-,10
960,20145,28750,10
961,20147,-,10
962,20149,68750,10
963,20151,50508,10
964,20153,-,10
965,20155,13188,10
966,20157,-,10
967,20159,-,10
968,20161,41014,10
969,20163,40000,10
970,20165,-,10
971,20167,-,10
972,20169,24575,10
973,20171,-,10
974,20173,27746,10
975,20175,31125,10
976,20177,27058,10
977,20179,-,10
978,20181,-,10
979,20183,-,10
980,20185,-,10
981,20187,-,10
982,20189,-,10
983,20191,"2,500-",10
984,20193,-,10
985,20195,-,10
986,20197,43000,10
987,20199,-,10
988,20201,-,10
989,20203,-,10
990,20205,-,10
991,20207,-,10
992,20209,28865,10
993,21001,24643,10
994,21003,"2,500-",10
995,21005,68016,10
996,21007,11953,10
997,21009,33558,10
998,21011,11223,10
999,21013,26500,10
1000,21015,68220,10
1001,21017,23528,10
1002,21019,30143,10
1003,21021,28537,10
1004,21023,-,10
1005,21025,-,10
1006,21027,35357,10
1007,21029,65988,10
1008,21031,-,10
1009,21033,14048,10
1010,21035,27880,10
1011,21037,23601,10
1012,21039,-,10
1013,21041,12500,10
1014,21043,9653,10
1015,21045,-,10
1016,21047,26973,10
1017,21049,35188,10
1018,21051,14524,10
1019,21053,-,10
1020,21055,23214,10
1021,21057,18472,10
1022,21059,25991,10
1023,21061,-,10
1024,21063,-,10
1025,21065,"2,500-",10
1026,21067,28605,10
1027,21069,23958,10
1028,21071,25000,10
1029,21073,32411,10
1030,21075,25774,10
1031,21077,11667,10
1032,21079,8468,10
1033,21081,45345,10
1034,21083,19854,10
1035,21085,12269,10
1036,21087,17188,10
1037,21089,59107,10
1038,21091,70500,10
1039,21093,46100,10
1040,21095,16217,10
1041,21097,23713,10
1042,21099,24561,10
1043,21101,24760,10
1044,21103,25063,10
1045,21105,33500,10
1046,21107,25455,10
1047,21109,-,10
1048,21111,28325,10
1049,21113,50325,10
1050,21115,-,10
1051,21117,29864,10
1052,21119,-,10
1053,21121,37730,10
1054,21123,47163,10
1055,21125,21500,10
1056,21127,15375,10
1057,21129,-,10
1058,21131,-,10
1059,21133,12625,10
1060,21135,-,10
1061,21137,18697,10
1062,21139,-,10
1063,21141,21019,10
1064,21143,30313,10
1065,21145,23929,10
1066,21147,-,10
1067,21149,24464,10
1068,21151,30694,10
1069,21153,-,10
1070,21155,28142,10
1071,21157,-,10
1072,21159,-,10
1073,21161,29125,10
1074,21163,34107,10
1075,21165,-,10
1076,21167,35772,10
1077,21169,28250,10
1078,21171,13750,10
1079,21173,27859,10
1080,21175,-,10
1081,21177,26638,10
1082,21179,27128,10
1083,21181,55703,10
1084,21183,28092,10
1085,21185,33906,10
1086,21187,38250,10
1087,21189,-,10
1088,21191,-,10
1089,21193,16494,10
